time, Quad.IMU.AX
0.005000,0.143543
0.010000,-0.840798
0.015000,0.020193
0.020000,-0.815486
0.025000,0.889126
0.030000,-0.284291
0.035000,-1.128785
0.040000,-0.492374
0.045000,0.122717
0.050000,-0.381254
0.055000,0.411098
0.060000,-0.056160
0.065000,-0.346624
0.070000,-0.885760
0.075000,-0.585967
0.080000,-0.006872
0.085000,-0.358572
0.090000,-0.184924
0.095000,-0.508344
0.100000,0.150136
0.105000,-0.359029
0.110000,0.019064
0.115000,-0.025111
0.120000,-0.569642
0.125000,-0.957862
0.130000,0.513596
0.135000,-0.200694
0.140000,0.082650
0.145000,0.645918
0.150000,-0.182570
0.155000,-0.240982
0.160000,0.649282
0.165000,0.426916
0.170000,-1.024441
0.175000,0.228462
0.180000,0.357513
0.185000,-0.372548
0.190000,0.174967
0.195000,0.474556
0.200000,0.165751
0.205000,-0.402488
0.210000,0.167746
0.215000,0.528551
0.220000,-0.056270
0.225000,-0.035497
0.230000,0.547752
0.235000,-0.116850
0.240000,0.559332
0.245000,0.087684
0.250000,-0.643222
0.255000,0.154220
0.260000,1.091670
0.265000,-0.259698
0.270000,0.578697
0.275000,-0.360852
0.280000,-0.103094
0.285000,0.175716
0.290000,-1.090429
0.295000,0.121551
0.300000,0.265011
0.305000,-0.516627
0.310000,-0.279514
0.314999,-0.303884
0.319999,0.051026
0.324999,-0.521348
0.329999,-0.052243
0.334999,0.027222
0.339999,0.902032
0.344999,-0.149898
0.349999,1.059467
0.354999,0.404290
0.359999,-0.993119
0.364999,-0.608108
0.369999,-0.013064
0.374999,-0.046093
0.379999,0.395948
0.384999,-0.413159
0.389999,0.953755
0.394998,-0.458889
0.399998,0.527587
0.404998,-0.485074
0.409998,0.042723
0.414998,-0.086861
0.419998,0.284675
0.424998,-0.033969
0.429998,0.110881
0.434998,0.045021
0.439998,0.257801
0.444998,0.154586
0.449998,0.043156
0.454998,0.139529
0.459998,-0.519340
0.464998,0.349274
0.469997,-0.482882
0.474997,-1.587311
0.479997,-0.656859
0.484997,0.663110
0.489997,-0.113700
0.494997,-0.737598
0.499997,-0.929028
0.504997,0.323954
0.509997,-0.008344
0.514997,0.169477
0.519997,-0.020982
0.524997,-0.167455
0.529997,0.465625
0.534997,-0.396205
0.539997,-0.885275
0.544997,0.365704
0.549996,0.352572
0.554996,0.119565
0.559996,0.897524
0.564996,0.536686
0.569996,1.297617
0.574996,0.206190
0.579996,-0.576802
0.584996,-0.148971
0.589996,-0.670225
0.594996,0.154710
0.599996,-0.050983
0.604996,0.327268
0.609996,-0.249923
0.614996,-0.036283
0.619996,-0.548826
0.624996,0.180139
0.629995,0.501087
0.634995,0.148303
0.639995,-0.949967
0.644995,-0.550814
0.649995,0.601727
0.654995,0.139169
0.659995,-0.359650
0.664995,0.052389
0.669995,-0.394221
0.674995,-0.105720
0.679995,0.106165
0.684995,0.672880
0.689995,-0.072119
0.694995,-0.044488
0.699995,0.348232
0.704994,0.901272
0.709994,0.428108
0.714994,0.110644
0.719994,-0.264169
0.724994,-0.486500
0.729994,-0.008437
0.734994,0.507703
0.739994,-0.125290
0.744994,-0.173801
0.749994,0.010660
0.754994,0.097349
0.759994,0.468775
0.764994,0.741079
0.769994,-0.110505
0.774994,0.288853
0.779994,-0.361091
0.784993,-0.247914
0.789993,-0.475100
0.794993,-0.490793
0.799993,-0.309360
0.804993,-0.154583
0.809993,-0.596420
0.814993,-0.607306
0.819993,0.153521
0.824993,-0.302823
0.829993,-0.044654
0.834993,-0.315343
0.839993,0.146153
0.844993,0.928552
0.849993,0.589108
0.854993,-0.406145
0.859993,-0.545094
0.864992,0.199439
0.869992,0.244953
0.874992,-0.522650
0.879992,-0.084736
0.884992,0.178013
0.889992,0.251099
0.894992,0.495920
0.899992,-0.513192
0.904992,0.176845
0.909992,-0.569286
0.914992,0.558546
0.919992,0.548147
0.924992,-0.427423
0.929992,-0.874766
0.934992,0.191265
0.939991,0.824790
0.944991,0.188783
0.949991,-1.338282
0.954991,-0.441354
0.959991,-0.350686
0.964991,0.132785
0.969991,0.020768
0.974991,-0.018556
0.979991,-0.311100
0.984991,-0.287946
0.989991,0.005938
0.994991,-0.478855
0.999991,0.008712
1.004991,0.535140
1.009991,-0.125955
1.014991,0.584522
1.019992,-0.048703
1.024992,-0.826307
1.029992,-0.757766
1.034992,-0.118136
1.039993,0.979549
1.044993,0.667683
1.049993,0.155110
1.054993,0.455976
1.059994,0.325148
1.064994,-1.448843
1.069994,0.319846
1.074994,0.279467
1.079994,0.218626
1.084995,0.115697
1.089995,-0.056922
1.094995,0.174031
1.099995,-0.364243
1.104996,0.455015
1.109996,-0.291889
1.114996,-0.252275
1.119996,0.836303
1.124997,0.628279
1.129997,0.177535
1.134997,-0.244142
1.139997,-0.156284
1.144997,0.141625
1.149998,0.263861
1.154998,-0.268162
